,loc,,,,,,,,,,,,,,,,,,,sp,no,,,spz,%FILARIA,IR_character,IR,,,allele,,,
COUNTRY,,LAT,LONG,TIME PERIOD OF STUDY,YEAR START,YEAR END,COLLECTION METHOD,METHOD OF SAMPLING COLLECTION,"SAMPLING METHOD_IR (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_PSC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ETC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_HLC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ORC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_LC (0- No, 1- Yes, 2- In combination, 9- Unknown)",STAGE OF COLLECTION,"COLLECTION STAGE (1- AC,2- LC,3- AC+LC, 4- LC+PC, 9-Unknown)",MORPHOLOGICAL IDENTIFICATION METHOD,MOLECULAR IDENTIFICATION METHOD,ID METHOD,,,S form,M form, ,,,,,KDR allele,,Comment,AUTHOR,REFERENCE
NIGERIA,Zungeru,9.81,6.16,1912 - 1916,1912,1916,IR,IR,1,0,0,0,0,0,AC,1,,,,An. funestus complex,528,,,,,,,,,,,"Johnson, 1919",[74]
NIGERIA,Zungeru,9.81,6.16,1912 - 1916,1912,1916,IR,IR,1,0,0,0,0,0,AC,1,,,,An. gambiae s.l,862,,,,,,,,,,,"Johnson,1919",[74]
NIGERIA,Katagum,10.01,9.77,1916,1916,1916,IR,IR,1,0,0,0,0,0,AC,1,,,,An. funestus complex,2657,,,,,,,,,,,"Johnson, 1919",[74]
NIGERIA,Katagum,10.01,9.77,1916,1916,1916,IR,IR,1,0,0,0,0,0,AC,1,,,,An. gambiae s.l,1002,,,,,,,,,,,"Johnson, 1919",[74]
NIGERIA,Kaduna area,10.52,7.44,1917 -1918,1917,1918,IR,IR,1,0,0,0,0,0,AC,1,,,,An. funestus complex,756,,,,,,,,,,,"Johnson, 1919",[74]
NIGERIA,Kaduna area,10.52,7.44,1917 -1918,1917,1918,IR,IR,1,0,0,0,0,0,AC,1,,,,An. gambiae s.l,3695,,,,,,,,,,,"Johnson, 1919",[74]
NIGERIA,Kaduna area,10.52,7.44,1917 -1918,1917,1918,IR,IR,1,0,0,0,0,0,AC,1,,,,An. nili,3,,,,,,,,,,,"Johnson, 1919",[74]
NIGERIA,Gadau,11.84,10.17,June 1929 - March 1930,1929,1930,,,9,9,9,9,9,9,AC,1,,,,An. gambiae s.l,1936,,,7.39,8.62,,,,,,,"Taylor, 1930",[75]
NIGERIA,Gadau,11.84,10.17,June 1929 - March 1930,1929,1930,,,9,9,9,9,9,9,AC,1,,,,An. funestus complex,1260,,,3.49,4.05,,,,,,,"Taylor, 1930",[75]
